Dataset Size,Bubble,Insertion,Merge
200,0.5067,0.389,0.4652,
200,0.4622,0.3556,0.4402,
200,0.4856,0.6122,0.4962,
200,0.6216,0.3824,0.4841,
200,0.5811,0.3843,0.4999,
200,0.624,0.3635,0.4878,
200,0.4894,0.3542,0.705,
200,0.5397,0.3955,0.6417,
200,0.5751,0.4003,0.5281,
200,0.5071,0.4621,0.4764,
400,1.497,0.8106,0.8023,
400,1.461,0.7848,0.7745,
400,1.5841,0.812,0.7391,
400,1.515,0.8251,0.7358,
400,1.4394,0.78,0.7282,
400,1.4329,0.7862,0.7245,
400,1.4945,0.7411,0.7204,
400,1.487,0.8205,0.7487,
400,1.4837,0.7712,0.7989,
400,1.5392,0.7841,0.7312,
600,4.3951,1.4361,1.0379,
600,3.0936,1.4363,1.0924,
600,3.1593,1.3537,1.0358,
600,3.0498,1.4266,1.0271,
600,3.1269,1.3567,1.0282,
600,3.1562,1.3567,1.0272,
600,3.0989,1.3836,1.0267,
600,3.1693,1.3818,1.0484,
600,3.0237,1.336,1.0234,
600,3.1451,1.3889,1.0243,
800,5.3351,2.2893,1.3017,
800,5.4907,2.2036,1.3064,
800,5.5578,2.2175,1.3302,
800,5.4783,2.2882,1.3006,
800,5.3256,2.2693,1.2959,
800,5.503,2.2145,1.2983,
800,5.3481,2.2118,1.2908,
800,5.4339,2.1949,1.3382,
800,5.2915,2.1849,1.2943,
800,5.5333,2.1814,1.3334,
1000,8.4098,3.6253,1.5881,
1000,8.5638,3.2319,1.5498,
1000,8.2956,3.3536,1.5396,
1000,8.4169,3.479,1.5402,
1000,8.5083,3.3662,1.5464,
1000,8.4808,3.1681,1.5412,
1000,8.393,3.3003,1.649,
1000,8.3667,3.2413,1.5384,
1000,8.5097,3.2572,1.5487,
1000,8.3529,3.456,1.5713,
1200,12.0888,4.5187,1.8875,
1200,12.3352,4.7038,1.8922,
1200,11.9934,6.2406,1.9703,
1200,12.1965,4.5382,1.9114,
1200,12.2459,4.4745,1.8939,
1200,12.377,4.637,2.0001,
1200,12.7901,4.5654,1.9396,
1200,12.1497,4.6576,1.9006,
1200,12.0539,4.5749,2.0434,
1200,12.2268,4.4768,1.8895,
1400,16.5046,6.2339,2.21,
1400,16.88,5.9375,2.2254,
1400,17.6919,5.8356,2.2128,
1400,16.7042,6.2038,2.2753,
1400,16.5198,6.0093,2.2657,
1400,16.9514,6.0157,2.3079,
1400,16.5779,6.211,2.1945,
1400,16.4011,6.1284,2.2612,
1400,16.3457,6.1183,2.2266,
1400,17.7339,6.1626,2.2086,
1600,21.3992,7.8747,2.4958,
1600,21.5086,7.6973,2.5119,
1600,22.5291,7.8839,2.4506,
1600,22.7452,7.8562,2.4596,
1600,21.8259,7.7182,2.6769,
1600,22.0309,7.9516,2.4596,
1600,21.7084,8.0033,2.4597,
1600,22.0287,7.6641,2.4407,
1600,22.6431,7.5555,2.6504,
1600,20.8491,8.0073,2.4907,
1800,27.7226,9.7477,2.7394,
1800,27.4429,9.7241,2.7296,
1800,27.2689,9.5566,2.76,
1800,27.0804,9.8248,2.6952,
1800,27.7083,9.9044,2.794,
1800,27.6771,9.7415,2.7351,
1800,27.6396,9.9239,2.7109,
1800,27.3252,9.8266,2.7052,
1800,27.4444,9.6675,2.7345,
1800,27.173,9.9672,2.9115,
2000,33.8446,12.1086,3.008,
2000,34.3164,11.8093,2.9826,
2000,34.433,11.8478,3.0338,
2000,37.1801,11.8738,3.2476,
2000,34.0922,11.8216,2.988,
2000,35.1941,12.1068,2.9808,
2000,34.246,11.62,2.9605,
2000,34.0574,11.9581,3.0791,
2000,33.9184,12.017,2.9675,
2000,34.1714,11.8143,2.967,
2200,42.1466,14.4088,3.3426,
2200,40.9823,13.7943,3.3269,
2200,42.0415,14.3237,3.3948,
2200,40.8585,14.1972,3.4288,
2200,41.6277,14.336,3.3268,
2200,41.5312,14.6695,3.452,
2200,43.2029,14.4051,3.3747,
2200,42.6425,13.9923,3.2793,
2200,40.2363,14.2736,3.5206,
